                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.89763,                0.50502,                 1.1267,                0.87763,                0.91634,                0.91408,                 0.6609,                0.99117,                 0.4138,                 1.0962,              0.0073468,              0.0073468,              0.0073468
                    136,                0.89429,                0.50413,                  1.127,                0.87757,                0.91541,                  0.914,                0.66103,                0.99101,                0.41409,                 1.0954,               0.007327,               0.007327,               0.007327
                    137,                0.89076,                0.50337,                 1.1213,                0.87757,                0.91567,                0.91392,                0.66139,                0.99111,                0.41444,                 1.0952,              0.0073072,              0.0073072,              0.0073072
                    138,                0.89377,                0.50638,                 1.1267,                0.87721,                0.91604,                0.91385,                0.66147,                0.99167,                0.41373,                 1.0957,              0.0072874,              0.0072874,              0.0072874
                    139,                0.89238,                0.50616,                 1.1212,                0.87726,                0.91789,                0.91433,                0.66148,                0.99104,                0.41324,                 1.0947,              0.0072676,              0.0072676,              0.0072676
                    140,                 0.8944,                 0.5049,                 1.1261,                0.87657,                0.91645,                0.91432,                0.66028,                0.99119,                0.41272,                 1.0946,              0.0072478,              0.0072478,              0.0072478
                    141,                0.89254,                0.50496,                 1.1203,                0.87507,                0.91721,                0.91491,                0.66063,                0.99091,                0.41308,                 1.0942,               0.007228,               0.007228,               0.007228
                    142,                0.89475,                0.50136,                 1.1235,                0.87535,                0.91668,                0.91559,                0.66266,                0.99132,                0.41317,                 1.0943,              0.0072082,              0.0072082,              0.0072082
                    143,                0.89463,                0.50488,                  1.125,                0.87689,                0.92019,                 0.9159,                0.66311,                0.99181,                0.41323,                 1.0944,              0.0071884,              0.0071884,              0.0071884
                    144,                0.88964,                0.50122,                 1.1262,                0.87589,                0.92129,                0.91614,                 0.6633,                0.99218,                0.41374,                 1.0953,              0.0071686,              0.0071686,              0.0071686
